Patient ID,Name,Birth Date,Age,Gender,Race,Ethnicity,Marital Status,Language,Address,SSN
632b7c1c-9545-4aa7-9fd5-07683139ef13,Akiko835 Runte676,1966-06-14,58,female,White,Not Hispanic or Latino,M,English,"1068 Carroll Drive Apt 22, Wellfleet, Massachusetts N/A",999-13-6457
822f82f3-3d03-4ce1-8c2b-14764c244fcf,Al123 Rosenbaum794,1999-03-15,26,male,White,Not Hispanic or Latino,Never Married,English,"528 Langosh Path, Beverly, Massachusetts 01915",999-58-8114
5434980c-7587-4461-ae4f-bc73143079a9,Alan320 Wiza601,2014-10-26,10,male,White,Not Hispanic or Latino,Never Married,English,"387 Dickinson Trafficway Suite 33, Milford, Massachusetts 01757",999-89-2236
763b6101-133a-44bb-ac60-3c097d6c0ba1,Alberto639 Delatorre612,1942-08-30,82,male,Other,Not Hispanic or Latino,M,Spanish,"316 Upton Hollow Unit 62, Wenham, Massachusetts N/A",999-65-3152
90a26ab7-b593-403f-a732-cad66c03a0f1,Aldo414 Block661,2015-12-08,9,male,Black or African American,Not Hispanic or Latino,Never Married,French,"586 Walter Mill, Carver, Massachusetts N/A",999-33-2200
763a24b2-3655-44b7-a231-106b766b07a9,Alejandra902 Villa94,1960-07-31,64,female,Black or African American,Not Hispanic or Latino,S,Spanish,"611 Gorczany Landing Unit 52, Dedham, Massachusetts 02026",999-11-8315
ad60b8d9-6125-4814-9836-bda34011fe5c,Alejandro916 Treutel973,1983-10-28,41,male,Asian,Not Hispanic or Latino,M,Hindi,"689 Johnson Esplanade Unit 40, Boston, Massachusetts 02108",999-88-3842
f63efb83-1566-4865-a251-fdc4d5fa4f6b,Alene865 Lubowitz58,1978-03-12,47,female,Black or African American,Not Hispanic or Latino,M,French,"106 Kozey Mill Apt 4, Woburn, Massachusetts 01801",999-31-2080
c088b7af-fc41-43cc-ab80-4a9ab8d47cd9,Alesha810 Marks830,1965-11-04,59,female,White,Not Hispanic or Latino,S,English,"165 Shanahan View, North Reading, Massachusetts N/A",999-76-3236
c70e2a78-1e77-4eb1-8215-8b83351cedcf,Alethea978 Crooks415,2002-11-10,22,female,White,Not Hispanic or Latino,Never Married,English,"845 Hegmann Hollow, Rowley, Massachusetts 01969",999-44-4977
43079775-bd14-4e91-8b3a-c724af87497e,Alex454 Prosacco716,2002-01-20,23,male,White,Not Hispanic or Latino,Never Married,English,"808 Abbott Parade Apt 80, Lawrence, Massachusetts 01840",999-75-8538
5e705f28-2fc3-4f1e-9433-df79ae3ceede,Alexis664 Homenick806,2003-10-09,21,male,White,Not Hispanic or Latino,Never Married,English,"190 Howell Frontage road Suite 43, Fall River, Massachusetts 02720",999-80-2378
2d5e18ff-c50e-4ddc-9391-98670c64f72c,Alexis664 Ritchie586,2003-04-07,22,male,White,Not Hispanic or Latino,Never Married,Portuguese,"560 Renner Terrace, Shrewsbury, Massachusetts N/A",999-18-1163
e1746953-5040-402f-a67b-7aaccff51e96,Alfonso758 Mosciski958,1969-03-02,56,male,White,Not Hispanic or Latino,S,English,"991 Koelpin Street, Athol, Massachusetts 01331",999-60-2577
16cd8a89-062b-446f-a1b8-f3b289fc2c4e,Alfred550 Marvin195,1989-05-25,35,male,White,Not Hispanic or Latino,M,English,"1044 Tremblay Rue Unit 65, Provincetown, Massachusetts 02657",999-66-6881
097d1c93-4142-4c08-86ca-4966c35f83f8,Alfred550 Schimmel440,1952-02-13,73,male,White,Not Hispanic or Latino,M,English,"1044 Medhurst Divide Unit 41, Franklin, Massachusetts 02038",999-90-2795
428e4e61-7664-4c20-800d-26ae7f8200e0,Alfredo17 King743,1997-09-24,27,male,White,Not Hispanic or Latino,Never Married,English,"148 Langworth Trace, West Springfield, Massachusetts 01089",999-17-2807
548bef90-e9da-4128-96c4-3aa6a915af8a,Ali918 Emard19,1917-08-06,107,male,White,Not Hispanic or Latino,M,English,"949 Jast Street, Boston, Massachusetts 02108",999-64-2303
9efa37da-5fb5-45da-acba-29e2b2c3d4e1,Ali918 Stokes453,2011-05-14,13,male,Asian,Not Hispanic or Latino,Never Married,English,"734 Kertzmann Byway Apt 88, Boston, Massachusetts 02108",999-13-6570
13b01a13-9472-4bf9-a36d-17bdc12612af,Alicia629 Walter473,2017-08-29,7,female,White,Not Hispanic or Latino,Never Married,English,"277 Barton Harbor Suite 79, East Longmeadow, Massachusetts N/A",999-61-2551
16524e00-1894-4c71-b673-a4a926c0c544,Alina705 Hayes766,1964-11-24,60,female,White,Not Hispanic or Latino,S,English,"1098 Effertz Walk Suite 32, Marlborough, Massachusetts 01752",999-47-7228
c247e691-cf7a-4ba6-9a62-fcce809e119f,Allegra202 Nitzsche158,1934-11-06,90,female,White,Not Hispanic or Latino,M,English,"941 Wiegand Junction, Weymouth, Massachusetts 02188",999-41-1454
00e24db2-623e-4f87-bf17-cdb27906bd8f,Alonzo487 Watsica258,1992-06-08,32,male,White,Not Hispanic or Latino,M,English,"484 Greenfelder Annex Unit 13, New Bedford, Massachusetts 02740",999-94-3655
e6538157-bc61-4f86-b135-7a498e8be14b,Alpha246 Crist667,1997-03-04,28,female,White,Not Hispanic or Latino,Never Married,English,"553 Hartmann Drive Unit 64, Boston, Massachusetts 02108",999-88-3424
0256e29d-7bfc-4944-8865-c247814cf97d,Alton320 Monahan736,1936-04-27,88,male,White,Not Hispanic or Latino,M,English,"549 Von Row, Watertown, Massachusetts 02472",999-64-5321
b53e261e-ee97-48a9-bc79-5b38f319cd4a,Alvera113 Morissette863,1987-10-01,37,female,American Indian or Alaska Native,Not Hispanic or Latino,S,English,"1071 Pacocha Arcade Suite 69, West Springfield, Massachusetts 01089",999-69-1055
241559f9-4a38-449f-b3bf-726b8ca71af1,Alvin56 Goldner995,1980-05-25,44,male,White,Not Hispanic or Latino,S,English,"327 Roob Pathway, Framingham, Massachusetts 01701",999-35-4164
543a7d59-fe25-464d-bacc-e44f9542c938,Amado512 Murazik203,1919-09-19,105,male,White,Not Hispanic or Latino,M,English,"244 Wilderman Divide Apt 84, Westport, Massachusetts N/A",999-98-6162
fae0279a-a4ce-4723-a431-6b9ec92325aa,Amalia471 Harber290,1963-07-09,61,female,White,Not Hispanic or Latino,Never Married,English,"804 Prohaska Lane Unit 54, Somerset, Massachusetts 02725",999-44-6349
3ee2738d-74ce-4960-ac49-81e2f54f5c3f,Amalia471 Magaña874,2007-02-23,18,female,Other,Not Hispanic or Latino,Never Married,Spanish,"691 Hane Byway Unit 87, Beverly, Massachusetts 01915",999-23-7422
4702b501-25b0-4174-95b1-74cb0f3bbc35,Amanda238 Dach178,1991-03-14,34,female,Asian,Not Hispanic or Latino,M,English,"602 Smitham Rue, Cheshire, Massachusetts 01225",999-11-2173
5950b660-57ea-41dd-afc1-5fe7bdae6336,Ana972 Halvorson124,1982-12-29,42,female,White,Not Hispanic or Latino,S,English,"430 Runolfsson Underpass Unit 74, West Springfield, Massachusetts 01089",999-92-9380
3fc9e53d-05e2-43dc-b658-f9be9e32b86b,Ana María762 Balderas66,1998-04-24,26,female,Black or African American,Not Hispanic or Latino,Never Married,Spanish,"557 Harvey Way Apt 18, Attleboro, Massachusetts 02703",999-67-6406
ffff2c5e-d4f2-44ae-86aa-9e8c432b8405,Ana María762 Paredes726,1961-07-31,63,female,Other,Not Hispanic or Latino,S,Spanish,"373 Streich Orchard, Boston, Massachusetts 02108",999-67-9234
2389dd31-c3e8-4590-897f-5a9d2f359e2d,Andera917 McKenzie376,2016-07-24,8,female,Black or African American,Not Hispanic or Latino,Never Married,French,"447 Wolf Extension, Revere, Massachusetts 02151",999-13-9794
bc001ffe-32b3-48f1-9d8f-c3822b525101,Andre610 Grimes165,2016-03-17,9,female,White,Not Hispanic or Latino,Never Married,Portuguese,"220 Osinski Pathway Suite 17, Brockton, Massachusetts 02301",999-10-9874
207ab280-2d58-408e-8301-6444e23c4a8f,Andrea7 Maya972,2008-03-02,17,female,Other,Not Hispanic or Latino,Never Married,Spanish,"1005 Ebert Flat Suite 59, Belmont, Massachusetts 02138",999-77-1384
0c6f3ca2-f014-4839-bbb8-1e9af61ff97a,Andrea7 Tello902,1996-05-06,28,female,Other,Not Hispanic or Latino,Never Married,Spanish,"159 Harvey Overpass Apt 34, Clinton, Massachusetts 01510",999-25-4864
b98e4960-beeb-41a3-9400-3e07ece715d0,Andreas188 Dare640,1996-07-08,28,male,White,Not Hispanic or Latino,Never Married,English,"360 Paucek Crossroad, Winchendon, Massachusetts 01475",999-76-3308
dd36f923-cc14-41c9-ae40-4c795355ce34,Andreas188 Hoeger474,1945-06-11,79,male,White,Not Hispanic or Latino,M,English,"155 Harber Green, Marblehead, Massachusetts 01945",999-36-2785
5ec8bfac-b725-4658-aeaa-b1e328773adc,Andres25 Konopelski743,1975-10-07,49,male,Other,Not Hispanic or Latino,M,English,"943 Wyman Run Unit 38, Littleton, Massachusetts N/A",999-35-3274
49340d22-f236-4d3a-8cfc-94696aaf18d0,Andrew29 Trantow673,1981-12-07,43,male,Asian,Not Hispanic or Latino,M,Chinese,"1052 Greenholt Rue Apt 75, Boston, Massachusetts 02108",999-98-1457
15e20922-0f51-47a0-9345-225906c35fbf,Angel97 Swift555,2012-01-03,13,male,White,Not Hispanic or Latino,Never Married,English,"517 Weissnat Mall, Malden, Massachusetts 02148",999-62-6858
29a29d75-4a3a-40f9-a991-262d01d8f71f,Angele108 Konopelski743,1966-08-13,58,female,White,Not Hispanic or Latino,S,English,"921 Roberts Rue Apt 73, Marblehead, Massachusetts 01945",999-88-5291
58ce1160-7bce-488a-a9c6-dbeb5fa41179,Angelika194 Tremblay80,1997-02-02,28,female,White,Not Hispanic or Latino,Never Married,English,"615 Emard Union, Hull, Massachusetts 02045",999-68-6180
bb097cc7-80f2-4ef9-bb49-3a056cf54aa1,Angle307 McLaughlin530,2008-07-16,16,female,Other,Not Hispanic or Latino,Never Married,English,"597 Sanford Landing, Springfield, Massachusetts 01013",999-12-1883
686df75d-1fc7-4a7c-9c02-582ca894ed6a,Anibal473 Connelly992,1965-10-14,59,male,White,Not Hispanic or Latino,S,English,"863 Oberbrunner Street Suite 14, Saugus, Massachusetts 01906",999-80-9352
05527b74-5dfa-43c7-adad-2984277fef73,Anissa357 Goyette777,1952-12-20,72,female,Other,Not Hispanic or Latino,S,English,"869 Hessel View Apt 8, Milford, Massachusetts 01757",999-79-7194
8b93480d-add7-40cd-998a-d8e5129a03d8,Annabell933 Pfannerstill264,1941-12-10,83,female,White,Not Hispanic or Latino,M,English,"984 Donnelly Wynd, Springfield, Massachusetts 01013",999-14-8337
c33bf4f2-f9b9-482e-860c-4165f220aa35,Anneliese170 Fisher429,1989-12-02,35,female,White,Not Hispanic or Latino,M,English,"654 Bayer Plaza, Dracut, Massachusetts N/A",999-51-8963
62f8e7af-169a-4cf3-80d0-8ad4f4f5817d,Annemarie794 Heidenreich818,1968-08-22,56,female,White,Not Hispanic or Latino,M,English,"330 Dickinson Skyway Apt 78, New Bedford, Massachusetts 02740",999-91-1521
8d0182c9-162f-4a0d-9f2f-153cb098a5e3,Annmarie79 Quitzon246,1964-10-05,60,female,Other,Not Hispanic or Latino,M,English,"459 Hane Terrace, Dudley, Massachusetts N/A",999-29-1363
812f7a88-9a55-46f2-8a14-1e64e4af8f8c,Anthony633 Klocko335,1935-09-02,89,male,White,Not Hispanic or Latino,Never Married,English,"266 Lemke Esplanade Apt 31, Plymouth, Massachusetts 02360",999-48-2008
b7e5bb89-740d-4a0d-a1ec-94dff9200f00,Anthony633 Lueilwitz711,1982-11-06,42,male,Other,Not Hispanic or Latino,S,English,"480 Toy Lock Apt 56, Everett, Massachusetts 02148",999-19-1152
f1ea52d7-f5e0-42e3-ad80-7fc2f63ed47e,Antione404 Treutel973,1936-03-12,89,male,White,Not Hispanic or Latino,M,Portuguese,"673 Glover Approach, Cambridge, Massachusetts 02138",999-76-4648
57055e35-c951-4476-9d82-51c28d69b533,Antone63 Rogahn59,1987-03-12,38,male,White,Not Hispanic or Latino,M,English,"137 Schumm Landing, Holliston, Massachusetts N/A",999-27-7479
1f18e760-de54-483d-8a3e-934f6f2fe892,Antonia30 Kilback373,1957-05-21,67,female,Other,Not Hispanic or Latino,M,English,"363 Swift Extension, Boston, Massachusetts 02108",999-10-2029
ebfdb80a-a153-4f94-b9a4-0a682f0bdc8e,Antonio44 Barrientos891,2015-10-31,9,male,Other,Not Hispanic or Latino,Never Married,Spanish,"497 Quitzon Path, North Andover, Massachusetts N/A",999-38-7960
5e4b559d-6999-4c91-9256-7c9845d6e167,Antonio44 Mayer370,1924-06-30,100,male,White,Not Hispanic or Latino,M,English,"850 Langworth Brook Apt 39, Franklin, Massachusetts 02038",999-89-9074
33fd1321-db4a-428b-9996-d2a25508e346,April374 Gerhold939,1957-09-16,67,female,White,Not Hispanic or Latino,M,English,"943 Kiehn Extension, Sandwich, Massachusetts 02563",999-49-1190
36b87f5e-a4da-46cc-af88-d9a12cb239e6,Archie818 Barrows492,1998-08-16,26,male,White,Not Hispanic or Latino,Never Married,English,"718 O'Reilly Mill, Worcester, Massachusetts 01545",999-65-2626
8ef11370-b5b1-4051-a0f0-7f9982aba39c,Ardath226 Zboncak558,1991-08-12,33,female,Other,Not Hispanic or Latino,M,English,"757 Grant Ramp Suite 75, Danvers, Massachusetts 01923",999-62-2190
664632b2-1503-42f3-921d-2fa78912f35c,Ardelia466 Larson43,2019-05-26,5,female,White,Not Hispanic or Latino,Never Married,English,"1099 Abernathy Bypass, Westfield, Massachusetts 01085",999-81-5622
d296453f-ff44-4afa-8046-1e47ac2d8ada,Arica110 Herman763,1964-01-08,61,female,White,Not Hispanic or Latino,M,English,"471 Satterfield Mill, Harwich, Massachusetts N/A",999-42-3903
42ee6a1c-7a2a-4343-8bc5-4fba476e0907,Ariel183 Friesen796,1980-08-14,44,male,White,Not Hispanic or Latino,M,English,"1079 Blick Center Apt 32, Yarmouth, Massachusetts N/A",999-23-9225
8d55e3c4-3069-48fa-9ffe-af4c4c72b210,Ariel183 Turner526,1952-11-29,72,male,White,Not Hispanic or Latino,M,English,"930 Dach Junction Suite 1, Falmouth, Massachusetts 02540",999-22-6760
9fdc65b5-8ccd-4859-9b23-e69b7e21c1e2,Arielle168 Marvin195,1949-10-31,75,female,White,Not Hispanic or Latino,M,English,"1042 Heller Green, Dedham, Massachusetts 02026",999-99-4668
e342dead-57bd-407c-b837-a2fe5b979a47,Armand155 Mills423,2006-06-22,18,male,White,Not Hispanic or Latino,Never Married,English,"933 Berge Viaduct Unit 99, Worcester, Massachusetts 01545",999-96-9405
48ec962a-c1c4-49a2-8ccd-2c7f7e9f0dee,Armando772 Kohler843,1980-11-30,44,male,White,Not Hispanic or Latino,M,English,"248 Breitenberg Loaf, Chicopee, Massachusetts 01013",999-94-6341
c7b59aaf-868d-49c9-9489-a0a2b04d402a,Arminda86 Muller251,1968-08-31,56,female,White,Not Hispanic or Latino,M,English,"416 Borer Estate Apt 37, Uxbridge, Massachusetts N/A",999-35-3036
ad03268d-2e8e-47a7-9191-2bca359b7f38,Arnold338 Cassin499,1956-09-03,68,male,Asian,Not Hispanic or Latino,M,English,"357 Beier Glen Apt 6, Everett, Massachusetts 02148",999-39-8239
ea206443-b280-4a08-abcd-f0ac318fa2a5,Arnold338 Kuhn96,2008-03-12,17,male,White,Not Hispanic or Latino,Never Married,English,"357 Lockman Lane, Chatham, Massachusetts 02633",999-15-4354
3a3ba55d-5437-4c9a-943a-93bc004c8f6f,Arron144 Hamill307,1972-12-09,52,male,Other,Not Hispanic or Latino,M,English,"515 Brekke Camp, Boston, Massachusetts 02108",999-30-3888
5c4f32d0-57df-411b-9475-3972325ed5f5,Art115 Steuber698,1969-09-22,55,male,White,Not Hispanic or Latino,M,English,"1075 Armstrong View Apt 30, North Attleborough, Massachusetts N/A",999-48-3848
ab691324-7b05-4cda-9918-8d776432bb0a,Arturo47 Cormier289,1954-07-23,70,male,White,Not Hispanic or Latino,M,English,"623 Buckridge Mission, Marlborough, Massachusetts 01752",999-72-8500
2c2f2c1d-51cf-4426-9a7b-583b97556533,Asa127 Flatley871,1978-02-03,47,male,White,Not Hispanic or Latino,M,English,"260 Lemke Ramp Suite 74, Berkley, Massachusetts N/A",999-11-3750
728a43f6-819d-41bd-860d-f2ce72979ccb,Asha251 Kulas532,1998-12-01,26,female,White,Not Hispanic or Latino,Never Married,English,"1036 Morar Rue, Ware, Massachusetts 01082",999-15-2099
e6282640-3b74-4c7b-b3d8-2f128f983c49,Ashley34 Fahey393,1916-02-21,109,female,White,Not Hispanic or Latino,M,English,"546 Ratke Camp, Brewster, Massachusetts 02631",999-84-7460
c2b40f49-4c27-419b-ad34-5c7bcc07781a,Audrie782 Howell947,1945-06-13,79,female,White,Not Hispanic or Latino,M,English,"528 Hayes Lodge, Pittsfield, Massachusetts 01201",999-89-3182
aef6dabb-9372-44bc-abf1-f3111812eec7,Audrie782 Metz686,1921-07-04,103,female,Black or African American,Not Hispanic or Latino,M,French (France),"167 Abbott Club, Springfield, Massachusetts 01013",999-10-2594
ae4c5b55-c704-4406-b353-285f9166a489,Audry167 Trantow673,1964-03-16,61,female,Other,Not Hispanic or Latino,M,Portuguese,"1069 Langworth Light, Boston, Massachusetts 02108",999-55-6603
edb1ebc5-d629-4c43-acf5-b8d1c38d9bd2,Aurore252 Kub800,2002-11-10,22,female,White,Not Hispanic or Latino,Never Married,English,"549 Beier Gateway, Tewksbury, Massachusetts N/A",999-34-6582
2d75e3a4-f0f6-45dd-8b57-75fb2f303c9e,Aurore252 Shanahan202,1916-02-21,109,female,White,Not Hispanic or Latino,S,English,"529 Carter Viaduct Apt 89, Brewster, Massachusetts 02631",999-41-6836
ea95f498-7929-4d50-be55-9bf7baee3a8d,Ayako221 Kub800,1949-04-01,76,female,White,Not Hispanic or Latino,M,English,"790 Stiedemann Common Suite 62, Dracut, Massachusetts N/A",999-66-8451
57ca2c16-7008-41e5-b338-4758b2fc46f0,Barabara924 Lockman863,1921-07-04,103,female,Black or African American,Not Hispanic or Latino,M,French (France),"485 Wunsch Mall Apt 84, Springfield, Massachusetts 01013",999-22-1163
4dbee22d-0aba-4432-83e5-cca1de250d29,Barbara209 Delgado712,1972-10-27,52,female,Other,Not Hispanic or Latino,S,Spanish,"419 Pollich Orchard, New Bedford, Massachusetts 02740",999-51-2289
b4be702f-d857-45d1-96d1-7c8960ed3cab,Barney639 McCullough561,1946-03-29,79,male,White,Not Hispanic or Latino,M,English,"704 Durgan Vista, Westford, Massachusetts N/A",999-40-8821
80afed8b-2e43-48b9-bf2f-4a428d33af9a,Barrie587 Sporer811,1921-07-04,103,female,Black or African American,Not Hispanic or Latino,M,French (France),"158 Howe View Apt 9, Springfield, Massachusetts 01013",999-68-9241
a2bc2feb-d766-47da-844a-419df19d0e66,Beatriz277 Salas880,1994-02-26,31,female,Black or African American,Not Hispanic or Latino,Never Married,Spanish,"375 Braun Walk, Auburn, Massachusetts N/A",999-49-1415
8421e46f-8802-46a2-8b21-9fbe297a4cab,Belen306 Schmeler639,1976-11-06,48,female,White,Not Hispanic or Latino,M,English,"1039 Sanford Light, Boston, Massachusetts 02108",999-39-3646
ace2d808-1826-4ae1-b22f-2c019a023794,Bella510 Davis923,1976-12-19,48,female,White,Not Hispanic or Latino,M,English,"279 Klein Stravenue, New Bedford, Massachusetts 02740",999-14-9681
04617c43-5f58-4da9-befc-116b2148a717,Benito209 Conroy74,1977-05-25,47,male,White,Not Hispanic or Latino,M,English,"715 Murray Loaf, Lawrence, Massachusetts 01840",999-84-9529
e0807005-e7f0-4bc8-8707-6c33dd0f2932,Benjamín452 Reyes140,1912-10-17,112,male,Other,Not Hispanic or Latino,M,Spanish,"1089 Abernathy Row, Worcester, Massachusetts 01545",999-79-5659
83f01277-56cc-4de6-b4f4-c4d209031606,Benjamín452 Venegas795,1961-03-05,64,male,Black or African American,Not Hispanic or Latino,S,Spanish,"232 Schmeler Byway, Billerica, Massachusetts N/A",999-48-2333
0445d793-a883-4078-9394-9737866fbbad,Benton624 Eichmann909,1996-10-06,28,male,Black or African American,Not Hispanic or Latino,Never Married,English,"516 Rempel Gateway Apt 1, Northampton, Massachusetts 01053",999-98-8177
e53f9fae-58ea-46f9-99f8-36617186c2e4,Bernardo699 Arellano2,2007-09-16,17,male,Other,Not Hispanic or Latino,Never Married,Spanish,"411 Ankunding Lane, Winthrop, Massachusetts 02128",999-32-6562
eb196666-7386-4b09-b3db-7232e8ee3628,Bernetta267 DuBuque211,1916-02-21,109,female,White,Not Hispanic or Latino,Never Married,English,"436 Cartwright Path, Brewster, Massachusetts 02631",999-40-7389
55f9a8cb-218b-48c0-a868-948485ad9747,Bernice532 Ziemann98,1932-07-07,92,female,White,Not Hispanic or Latino,M,Portuguese,"426 Blanda Rapid, Springfield, Massachusetts 01013",999-83-9732
3e9d6e6f-9361-4917-8ed7-5f9dcfed8ece,Bertram873 Homenick806,1971-07-20,53,male,White,Not Hispanic or Latino,M,English,"279 O'Hara Corner Unit 77, Lawrence, Massachusetts 01840",999-89-8116
abbd3c1b-3048-49f2-95c9-9303b3b73d34,Billie243 Buckridge80,1917-08-06,107,male,White,Not Hispanic or Latino,M,English,"597 Jakubowski Center, Boston, Massachusetts 02108",999-85-5791
eb98f130-5601-4283-a2ac-4210ecc249d8,Billie243 Wiegand701,2012-12-07,12,male,Asian,Not Hispanic or Latino,Never Married,Chinese,"393 Abshire Pathway Apt 90, Brookline, Massachusetts 02215",999-79-2898
ebbc78bf-5c05-47d2-b917-6622b19e3169,Billy698 Reichel38,1980-09-03,44,male,White,Not Hispanic or Latino,S,English,"170 Gutmann Road, Worcester, Massachusetts 01545",999-45-9811
03c52543-c00e-4e11-85e5-b1077a4ccffa,Blaine377 Crona259,1981-09-24,43,male,Asian,Not Hispanic or Latino,M,English,"342 Johns Pathway, Arlington, Massachusetts 02474",999-89-8150
d7714835-c7e2-408f-9652-c8c2bdd9d2bf,Blair400 Grady603,1971-08-04,53,male,White,Not Hispanic or Latino,M,Italian,"349 Murazik Fork, West Springfield, Massachusetts 01089",999-53-7253
00953a86-434f-4866-ab0a-5a5a3ddc6bb2,Bo157 King743,1924-06-30,100,male,White,Not Hispanic or Latino,M,English,"282 Jaskolski Vale Apt 70, Franklin, Massachusetts 02038",999-12-7667
40ad8575-3bc8-459d-b5d9-68b120681b31,Bo157 Turner526,2013-12-10,11,male,White,Not Hispanic or Latino,Never Married,English,"340 Bogan Branch Suite 38, Bridgewater, Massachusetts 02324",999-61-7880
751a3384-dfb5-4b17-987d-e828d7b02acc,Bong390 Harvey63,1996-08-16,28,female,White,Not Hispanic or Latino,Never Married,English,"237 Gislason Pathway Apt 92, Boston, Massachusetts 02108",999-94-7949
251bc73a-3d83-4c35-b35a-2f0773cb48e9,Boyce638 Considine820,2000-05-20,24,male,White,Not Hispanic or Latino,Never Married,English,"912 Brown Rue, Fall River, Massachusetts 02720",999-30-5012
053adf4e-6550-4c63-9fba-1c184e5b5991,Boyd728 Batz141,1964-10-31,60,male,White,Not Hispanic or Latino,M,English,"275 McKenzie Parade Apt 72, Brockton, Massachusetts 02301",999-63-9407
26cc2be9-288d-4d86-9938-7aed19eace05,Brad867 Bins636,2006-04-08,19,male,White,Not Hispanic or Latino,Never Married,English,"696 Eichmann Meadow, Springfield, Massachusetts 01013",999-30-6501
2d60c669-99c9-4551-a1ea-cccdd934892c,Bradford382 Beer512,2017-12-19,7,male,White,Not Hispanic or Latino,Never Married,English,"173 Ritchie Ferry, Millis, Massachusetts N/A",999-41-6920
2d70fdc1-7a11-49fc-9321-20fe025a934c,Bradley693 Ondricka197,2013-10-20,11,male,White,Not Hispanic or Latino,Never Married,Italian,"980 Littel Burg Apt 80, Winchendon, Massachusetts 01475",999-90-6036
0612e8ea-be3c-426b-9434-bd1ceb415b60,Brady998 Windler79,1919-09-19,105,male,White,Not Hispanic or Latino,M,English,"701 Hamill Trailer Unit 93, Westport, Massachusetts N/A",999-64-2194
eac150b8-3c32-4a24-b5da-e39d7dee588e,Brady998 Ziemann98,1960-07-29,64,male,White,Not Hispanic or Latino,M,English,"936 Koch Branch, Malden, Massachusetts 02148",999-53-7312
02065b98-0985-4ed0-9966-396cb1fa46bb,Brande998 Abbott774,1952-08-14,72,female,White,Not Hispanic or Latino,S,English,"708 Kihn Rest Apt 63, Lunenburg, Massachusetts 01462",999-81-9330
214eddfc-f539-43ab-ba7f-70e48d936221,Brant303 Ebert178,1970-12-03,54,male,White,Not Hispanic or Latino,S,English,"628 Senger Plaza, Norwell, Massachusetts N/A",999-31-6484
